name_in_data,translation,weight_category,frequency
Afghane,afghan hound,61-70,6
Goldendoodle,Goldendoodle,51-60,6
Russischer Terrier,black russian terrier,121-130,6
Berger blanc Suisse,white swiss shepherd dog,71-80,5
King Charles Spaniel,King Charles Spaniel,11-20,5
Bordeaux Dogge,bordeaux mastiff,121-130,5
Norfolk Terrier,Norfolk Terrier,11-20,5
Spanischer Wasserhund,spanish water dog,31-40,5
Basset,basset hound,51-60,5
Galgo,spanish greyhound,51-60,5
Holländischer Schäfer,dutch shepherd,61-70,5
Portugiesischer Wasserhund,portugese water dog,51-60,5
Deutscher Pinscher,German Pinscher,31-40,5
Windspiel,italian greyhound,1-10,5
Katalanischer Schäferhund,Catalan Shepherd,31-40,5
Welsh Corgi Pembroke,Welsh Corgi,21-30,5
Bobtail,old english sheepdog,81-90,5
Manchester Terrier,Manchester Terrier,11-20,5
Pit Bull Terrier,Pit Bull Terrier,51-60,4
Katalanischer Hirtenhund,Catalan Shepherd,31-40,4
Petit Basset Griffon,Petit Basset Griffon,31-40,4
Neufundländer,Newfoundland,141-150,4
Löwchen,little lion dog,11-20,4
Bichon maltais,maltese,1-10,4
Deutscher Vorstehhund,German shorthaired pointer,61-70,4
Field Spaniel,Field Spaniel,31-40,4
Irish Soft Coated Wheaten Terrier,Soft Coated Wheaten Terrier,31-40,4
Zwergdachshund,miniature dachshund,1-10,4
Pomeranian,Pomeranian,1-10,4
Staffordshire Bull Terrier,Staffordshire Bull Terrier,31-40,4
Alaskan Malamute,Alaskan Malamute,81-90,4
Beauceron,Beauceron,91-100,4
Berger Picard,Berger Picard,61-70,3
Bretonischer Spaniel,brittany,31-40,3
Malamut,Malamute,81-90,3
Japan Chin,Japanese Chin,1-10,3
Thai Ridgeback,Thai Ridgeback,61-70,3
Berger de Brie,briard,71-80,3
Toller,toller,41-50,3
Dogo Canario,Presa Canario,121-130,3
Welsh Springer Spaniel,Springer Spaniel,41-50,3
Saluki,Saluki,51-60,3
Dogge,Mastiff,91-100,3
Tiroler Bracke,Tyrolean hound,41-50,3
Border,Border collie,31-40,3
Setter,setter,51-60,3
Basset Griffon vendéen,petite Basset Griffon,31-40,3
Parson Terrier,Parson Terrier,11-20,3
Ratero,rat terrier,11-20,3
English Toy Terrier,English Toy Terrier,1-10,3
Tschechoslowakischer Wolfshund,Czechoslovakian Wolfdog,141-150,3
Mittelspitz,Medium spitz,21-30,3
Bayerischer Gebirgsschweisshund,Bavarian mountain hound,41-50,3
Landseer,Landseer,141-150,3
Australian Terrier,Australian Terrier,11-20,3
Welsh Corgi Cardigan,cardigan Welsh Corgi,31-40,3
Dachsbracke,dachshund,21-30,3
Canaan Dog,Canaan Dog,41-50,3
Bernhardiner,saint Bernard,141-150,3
Chesapeake Bay Retriever,Chesapeake Bay Retriever,71-80,3
Irish Wolfhound,Irish Wolfhound,131-140,3
Perro de Agua,water dog,51-60,2
Greyhound,Greyhound,71-80,2
Retriever,retriever,71-80,2
Kuvasz,Kuvasz,131-140,2
Deutscher Grossspitz,German spitz,21-30,2
Kerry Blue Terrier,Kerry Blue Terrier,31-40,2
Deutscher Jagdterrier,jagd terrier,11-20,2
Deutsch Drahthaar,German wirehaired pointer,61-70,2
Bologneser,Bolognese,1-10,2
Maremma-Abruzzenhund,Maremmano-Abruzzese sheepdog,91-100,2
Russkiy Toy,Russkiy Toy,1-10,2
Epagneul Breton,brittany,31-40,2
Bullmastiff,Bullmastiff,121-130,2
Chinese Crested Hairless Dog,Chinese Crested dog,1-10,2
Teckel,dachshund,21-30,2
Bardino,Perro Majorero,81-90,2
Gos d'Atura Català,Catalan Shepherd,31-40,2
Segugio,Segugio italiano,51-60,2
Beauceron Berge de Beauce,Beauceron,81-90,2
Mudi,Mudi,21-30,2
Bouvier,Bouvier,71-80,2
Schweizer Niederlaufhund,Schweizer Niederlaufhund,21-30,2
Silky Terrier,Silky Terrier,1-10,2
Islandhund,Icelandic sheepdog,21-30,2
Afghanischer Windhund,Afghan hound,61-70,2
Toyterrier,Toy terrier,1-10,2
Skye Terrier,Skye Terrier,31-40,2
Deutscher Langhaarschäfer,old german shepherd dog,71-80,2
Bulldog,Bulldog,41-50,2
Australian Silky Terrier,Australian Silky Terrier,1-10,2
Maremmano,Maremmano-Abruzzese sheepdog,91-100,2
Mastiff,Mastiff,91-100,2
Polski Owczarek Nizinny,polish lowland sheepdog,41-50,2
Elo,Elo,61-70,2
Kurzhaar Dackel,dachshund,21-30,1
Wasserhund,Water dog,51-60,1
Alano,Alano,71-80,1
Jura Laufhund,bruno jura hound,31-40,1
Ratenero Bodeguero,Ratenero Bodeguero andaluz,11-20,1
Puli,Puli,21-30,1
Deutscher Wachtel,German spaniel,41-50,1
Curly Coated Retriever,Curly Coated Retriever,81-90,1
Cattle Dog,Australian cattle Dog,41-50,1
Alpenländische Dachsbracke,dachshund,21-30,1
Chodsky pes,bohemian shepherd,41-50,1
Chinese Foo Dog,Chinese Foo Dog,not real,1
Norwegischer Lundehund,Norwegian Lundehund,11-20,1
Norwegischer Buhund,Norwegian Buhund,31-40,1
Deutscher Kurzhaar,German shorthaired pointer,61-70,1
Finnischer Lapphund,Finnish Lapphund,41-50,1
Cimarron Uruguayo,Cimarron Uruguayo,91-100,1
Pyrenäen,great Pyrenees,141-150,1
Sloughi,Sloughi,51-60,1
Schapendoes,Schapendoes,41-50,1
Polnische Bracke,Polish hound,61-70,1
Bull Terrier,Bull Terrier,61-70,1
Transylvanischer Laufhund,Transylvanian hound,61-70,1
Nackthund,Xoloitzcuintle,41-50,1
Australien Kelpie,Australian Kelpie,31-40,1
Chinese Powder Puff,Chinese Crested dog,1-10,1
Wolfspitz,keeshond,31-40,1
Kleiner Münsterländer,Münsterländer,41-50,1
Phalène,Phalène,1-10,1
Azawakh,Azawakh,41-50,1
Kaninchen-Dachshund,dachshund,21-30,1
Luzerner Laufhund,Luzerner Laufhund,31-40,1
Daisy-Dog,Daisy Dog,11-20,1
Cane Corso,Cane Corso,101-110,1
Epagneul,brittany,31-40,1
Poitevin Jagdhund,Poitevin hound,51-60,1
Pumi,Pumi,21-30,1
Schipperke,Schipperke,11-20,1
English Staffordshire Terrier,English Staffordshire Terrier,31-40,1
Do-Khyi,tibetan mastiff,141-150,1
Saarloos-Wolfshund,Saarloos wolfhound,81-90,1
Breton,brittany,31-40,1
Deerhound,Scottish Deerhound,101-110,1
Westgotenspitz,Swedish Vallhund,21-30,1
Laufhund,swedish laufhund,31-40,1
Schwedischer Vallhund,Swedish Vallhund,21-30,1
Cirneco dell'Etna,Cirneco dell'etna,21-30,1
Irish Water Spaniel,Irish Water Spaniel,51-60,1
Foo Dog gross,Foo Dog big,not real,1
Bulgarischer Sennenhund,Bulgarian scenthound,51-60,1
Niederlaufhund,Niederlaufhund,21-30,1
Spanischer Windhund,Spanish greyhound,51-60,1
Affenpinscher,Affenpinscher,1-10,1
Slovensky Cuvac,slovak Cuvac,91-100,1
Fila Brasileiro,Fila Brasileiro,141-150,1
Altdeutscher Hütehund,Old German herding dog,81-90,1
Wäller,waller,51-60,1
